所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
システム本部,レバテック開発部,ビジネスサポートグループ,ITSチーム,
レバテック株式会社,ITソリューション事業部,,,
レバテック株式会社,管理部,サポートグループ,,
エージェント第一事業本部,看護エージェント事業部,法人グループ,西日本法人Bチーム,
レバテック株式会社,管理部,,,
人事本部,人事戦略部,人事制度チーム,,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用RAユニット
LW管理本部,LW管理部,紹介事業・法務グループ,,
エージェント第一事業本部,介護エージェント事業部,法人グループ,地方拠点法人チーム,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第1クリエイティブチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第1ユニット
マーケティング部,BizOps戦略室,HTグループ,,
エージェント第二事業本部,医療技師エージェント事業部,,,
マーケティング部,機能戦略室,CRMグループ,,
中途採用事業本部,転職メディア事業部,ビジネスグループ,セールスチーム,カスタマーサクセスユニット
中途採用事業本部,HC事業企画部,,,
LW経営企画本部,経営企画部,CRMセールス,看護掘り起しチーム,
中途採用事業本部,BPO推進室,人事管理グループ,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,若年層・新卒事業領域ユニット
人事本部,人事採用部,中途採用グループ,,
人事本部,人事採用部,新卒採用グループ,新卒アシスタントチーム,
キャリアチケット事業本部,事業推進部,品質管理室,,
経営企画管理本部,経営企画室,戦略企画グループ,,
総務部,社内飲食事業グループ,,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,大阪グループ,大阪Gチーム
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,HT・新規事業チーム,
マーケティング部,業務推進室,,,
エージェント第一事業本部,介護エージェント事業部,,,
キャリアチケット事業本部,,,,
マーケティング部,プロダクト戦略室,,,
エージェント第一事業本部,看護エージェント事業部,法人グループ,西日本法人Bチーム,
スタッフィング事業本部,カスタマーサクセス推進室,カスタマーロイヤルティチーム,,
エージェント第三事業本部,薬剤師エージェント事業部,,,
エージェント第一事業本部,介護エージェント事業部,法人グループ,首都圏法人チーム,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,,
スタッフィング事業本部,カスタマーサクセス推進室,カスタマーロイヤルティチーム,,
LW経営企画本部,経営企画部,CRMセールス,看護長期管理チーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Aチーム
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
LW管理本部,LW管理部,紹介事業・法務グループ,紹介事業管理チーム,
スタッフィング事業本部,介護スタッフィング事業部,神奈川グループ,神奈川Aチーム,
LW管理本部,LW管理部,派遣事業管理グループ,看護派遣管理チーム,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Bグループ,被リンクユニット
マーケティング部,業務推進室,業務支援チーム,,
マーケティング部,データ戦略室,データアーキテクトグループ,第二チーム,
レバテック株式会社,ITソリューション事業部,HRBP室,,
エージェント第一事業本部,介護エージェント事業部,大阪グループ,,
経営企画管理本部,経理部,経理チーム1,,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,フォロワーチーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用FLユニット
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理秋葉原チーム,WL管理秋葉原ユニット1
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,営業開始／案件／推薦ユニット
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,,
中途採用事業本部,HC事業企画部,事業推進グループ,リテンションチーム,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,転職領域チーム
エージェント第一事業本部,看護エージェント事業部,法人グループ,,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Fチーム
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第1ユニット
レバテック株式会社,ITソリューション事業部,,,
海外事業本部,,,,
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,
人事本部,人事労務部,,,
レバテック株式会社,管理部,サポートグループ,,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用FLユニット
中途採用事業本部,HC事業企画部,事業推進グループ,ISチーム,
マーケティング部,業務推進室,業務自動化チーム,,
レバテック株式会社,管理部,サポートグループ,,
秘書室,,,,
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,計上ユニット
人事本部,人事労務部,労務管理Bチーム,,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,首都圏RAチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Eチーム
LW管理本部,LW管理部,紹介事業・法務グループ,紹介事業管理チーム,
レバテック株式会社,ITソリューション事業部,,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,,
LW管理本部,LW管理部,,,
スタッフィング事業本部,カスタマーサクセス推進室,CASカスタマーサポートチーム,,
LW経営企画本部,組織戦略部,人材開発グループ,,
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットN
システム本部,ソリューション開発部,ヒューマンキャピタル事業,セールスシステムグループ,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,若年層・新卒事業領域ユニット
マーケティング部,事業開発室,事業開発グループ,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,医療・介護事業領域ユニット
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,計上ユニット
人事本部,人事労務部,給与社保チーム,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北日本グループ,
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC美容チーム,
スタッフィング事業本部,カスタマーサクセス推進室,MDSカスタマーサポートチーム,,
人事本部,人事採用部,中途採用グループ,中途採用チーム,非正規採用ユニット
LW管理本部,LW管理部,派遣事業管理グループ,介護派遣管理チーム,
レバテック株式会社,管理部,,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
中途採用事業本部,HC事業企画部,事業推進グループ,リテンションチーム,
人事本部,人事採用部,新卒採用グループ,新卒アシスタントチーム,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
M&Aアドバイザリー事業部,,,,
スタッフィング事業本部,カスタマーサクセス推進室,カスタマーロイヤルティチーム,,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,フリーランスチーム,インバウンドユニット
レバテック株式会社,ITリクルーティング事業部,,,
広報PR・教育事業本部,広報PR・教育事業部,広報PRグループ,,
スタッフィング事業本部,介護スタッフィング事業部,東日本グループ,名古屋Aチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Eチーム
システム本部,レバテック開発部,ビジネスサポートグループ,RPA移管チーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまAチーム
レバテック株式会社,ITソリューション事業部,,,
スタッフィング事業本部,カスタマーサクセス推進室,MDSカスタマーサポートチーム,,
中途採用事業本部,BPO推進室,SOグループ,LTチーム,スカウトユニット
レバテック株式会社,管理部,業務管理グループ,審査チーム,ITSユニット
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,船橋Aチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第1ユニット
スタッフィング事業本部,カスタマーサクセス推進室,カスタマーロイヤルティチーム,,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,日程調整ユニット
レバテック株式会社,クオリティアシュアランス事業部,,,
人事本部,人事採用部,中途採用グループ,中途採用チーム,ビジネス職採用Aユニット
LW管理本部,LW管理部,派遣事業管理グループ,看護派遣管理チーム,
人事本部,人事採用部,新卒採用グループ,営業職第四チーム,専門職ユニット
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,プロデュースチーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,HRテック事業領域ユニット
LW管理本部,LW管理部,派遣事業管理グループ,看護派遣管理チーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理千葉チーム,WL管理千葉ユニット1
レバテック株式会社,ITソリューション事業部,,,
エージェント第二事業本部,栄養士エージェント事業部,関東グループ,,
レバテック株式会社,ITソリューション事業部,セールスイネーブルメント室,オンボーディングチーム,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,ハイクラスRAチーム,ハイクラス第1ユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Aチーム
エージェント第一事業本部,看護エージェント事業部,法人グループ,西日本法人Aチーム,
システム本部,NALYSYS開発部,NALYSYSプロダクトチーム,,
中途採用事業本部,営業企画室,,,
LW経営企画本部,経営企画部,BPO立川チーム,,
LW管理本部,LW管理部,派遣事業管理グループ,介護派遣管理チーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,LTユニット
人事本部,人事採用部,新卒採用グループ,マーケティング職グループ,マーケティング職ユニット1
経営企画管理本部,経営企画室,戦略企画グループ,,
レバテック株式会社,管理部,業務管理グループ,手続チーム,契約ユニット
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第1クリエイティブチーム,
マーケティング部,事業開発室,事業開発グループ,,
海外事業本部,セールスオペレーション部,システムグループ,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,IT事業領域ユニット
システム本部,テクノロジー戦略室,TQCチーム,,
マーケティング部,プロダクト戦略室,プロダクトグループ,R&Dチーム,
レバテック株式会社,管理部,業務管理グループ,審査チーム,ITSユニット
人事本部,人事戦略部,人事制度チーム,,
システム本部,メディアシステム部,経営基盤開発チーム,,
海外事業本部,海外メディア事業部,メディアグループ,ソーシャルメディアチーム,
マーケティング部,ブランドコミュニケーション室,ブランドマネジメントグループ,,
システム本部,レバウェル開発部,CXグループ,,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,HT・新規事業チーム,
海外事業本部,外国人人材紹介事業部,高度人材グループ,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),,
レバテック株式会社,管理部,業務管理グループ,手続チーム,経理ユニット
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,管理部,業務管理グループ,手続チーム,経理ユニット
システム本部,情報システム室,コーポレートエンジニアリンググループ,バックオフィスマネジメントチーム,
システム本部,レバウェル開発部,プラットフォームエンジニアリンググループ,,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットA
人事本部,人事採用部,新卒採用グループ,営業職第五チーム,営業職第五グループユニットR
システム本部,テクノロジー戦略室,クロスエンジニアリングチーム,,
中途採用事業本部,ハタラクティブ事業部,西日本グループ,,
システム本部,情報システム室,,,
キャリアチケット事業本部,事業推進部,組織戦略室,人事チーム,人材組織開発ユニット
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
中途採用事業本部,HC事業企画部,事業企画グループ,データアーキテクトチーム,
システム本部,,,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第1ユニット
キャリアチケット事業本部,事業推進部,,,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,
システム本部,ソリューション開発部,オンライン診療事業,,
中途採用事業本部,NDC事業部,ドライバーエージェントグループ,第一ユニット,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,,
レバテック株式会社,経営企画室,,,
レバテック株式会社,管理部,業務管理グループ,手続チーム,契約ユニット
レバテック株式会社,ITリクルーティング事業部,福岡グループ,地方営業推進チーム,
海外事業本部,海外人材招聘事業部,,,
中途採用事業本部,転職エージェント事業部,エージェントグループ,第2ユニット,
海外事業本部,公共連携推進部,アライアンスグループ,,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,,
キャリアチケット事業本部,就職メディア事業部,ビジネスグループ,バリューグロースチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,,
システム本部,レバテック開発部,ビジネスサポートグループ,RPA移管チーム,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),リクルーティングアドバイザーチーム,第1ユニット
中途採用事業本部,人材戦略室,イネーブルメントユニット,,
レバテック株式会社,ITソリューション事業部,セールスイネーブルメント室,オンボーディングチーム,
人事本部,人事戦略部,組織開発チーム,,
経営企画管理本部,経理部,,,
システム本部,テクノロジー戦略室,データエンジニアリンググループ,,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第2ユニット
レバテック株式会社,管理部,業務企画室,,
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットJ
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用FLユニット
人事本部,人事採用部,新卒採用グループ,営業職第五チーム,営業職第五グループユニットR
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,大阪CRユニット
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,
中途採用事業本部,HC事業企画部,,,
中途採用事業本部,人材戦略室,イネーブルメントユニット,,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,首都圏RAチーム,HTRA首都圏新規ユニット
システム本部,レバテック開発部,ビジネスサポートグループ,,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットE
システム本部,ソリューション開発部,海外事業,,
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,計上ユニット
レバテック株式会社,クオリティアシュアランス事業部,ソリューションセールスグループ,,
システム本部,レバウェル開発部,DataForceグループ,,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,,
中途採用事業本部,BPO推進室,営業推進グループ,,
LeveragesU.S.Inc.,帰国GO.com,,,
マーケティング部,プロダクト戦略室,コンテンツグループ,レバテックラボ編集局,
マーケティング部,プロダクト戦略室,プロダクトグループ,プロダクトマネジメントチーム,
レバテック株式会社,ITリクルーティング事業部,名古屋グループ,,
エージェント第一事業本部,介護エージェント事業部,法人グループ,西日本法人チーム,
LeveragesU.S.Inc.,LeveragesCareerU.S.,SeattleOffice,,
レバテック株式会社,シェアードサービス推進部,,,
人事本部,人事採用部,新卒採用グループ,営業職第二チーム,営業職第二グループユニットI
中途採用事業本部,転職メディア事業部,,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,
人事本部,人事戦略部,人材開発チーム,,
LW経営企画本部,経営企画部,事業推進Aチーム,,
エージェント第一事業本部,介護エージェント事業部,北信越・北関東グループ,,
レバテック株式会社,LT文化組織戦略部,レバテック広報グループ,,
エージェント第一事業本部,介護エージェント事業部,北日本グループ,,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットD
レバテック株式会社,ITリクルーティング事業部,福岡グループ,リクルーティングアドバイザーチーム,RA第2ユニット
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットM
レバテック株式会社,インサイドセールス部,リクルートコンサルティンググループ,RC第2チーム,RC第6ユニット
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Bグループ,Dユニット
マーケティング部,事業開発室,事業開発グループ,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRAグループ,,
レバテック株式会社,ITソリューション事業部,ITS支店グループ,,
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,東日本Bチーム,
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット2
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,転職領域チーム
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC施設在宅Bチーム,
マーケティング部,事業開発室,事業開発グループ,,
海外事業本部,海外教育事業部,インドネシア支社,,
システム本部,レバテック開発部,ITSプロダクト開発グループ,LTPリプレイスチーム,
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット2
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Eチーム
海外事業本部,海外人材招聘事業部,AJSグループ,,
マーケティング部,事業戦略室,第二グループ,レバテックITSマーティングチーム,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットG
エージェント第二事業本部,医療技師エージェント事業部,,,
マーケティング部,機能戦略室,CRMグループ,レバウェルチーム,
中途採用事業本部,ハタラクティブ事業部,,,
中途採用事業本部,ワークリア事業部,,,
中途採用事業本部,カスタマーロイヤルティ推進室,ITRグループ,オペレーションチーム,オペレーションユニット
中途採用事業本部,NDC事業部,ドライバーエージェントグループ,第一ユニット,
マーケティング部,事業戦略室,第一グループ,ハタラクティブマーケティングチーム,
法務部,法務グループ,,,
法務部,法務グループ,法務Bチーム,,
レバテック株式会社,管理部,総務グループ,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,LMCユニット
キャリアチケット事業本部,就職エージェント事業部,,,
M&Aアドバイザリー事業部,,,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
中途採用事業本部,人材戦略室,イネーブルメントユニット,,
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット3
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),キャリアアドバイザーチーム,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),リクルーティングアドバイザーチーム,第2ユニット
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Aグループ,Cユニット
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC美容チーム,
システム本部,レバウェル開発部,DataForceグループ,開発SLチーム,
レバテック株式会社,IT新卒紹介事業部,事業企画室,Opsチーム,
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS首都圏Aチーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理千葉チーム,WL管理千葉ユニット3
法務部,法務グループ,,,
システム本部,テクノロジー戦略室,,,
人事本部,人事戦略部,組織開発チーム,,
中途採用事業本部,HC事業企画部,事業企画グループ,管理チーム,
経営企画管理本部,経営企画室,戦略企画グループ,,
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,,
エージェント第一事業本部,介護エージェント事業部,東京常勤グループ,,
レバテック株式会社,管理部,業務管理グループ,審査チーム,ITSユニット
人事本部,人事採用部,中途採用グループ,中途採用チーム,ビジネス職採用Aユニット
マーケティング部,データ戦略室,データアーキテクトグループ,第一チーム,
中途採用事業本部,HC事業企画部,事業企画グループ,広報チーム,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,,
LW経営企画本部,組織戦略部,人材開発グループ,人材育成チーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Aチーム
レバテック株式会社,LT文化組織戦略部,レバテック広報グループ,,
レバテック株式会社,インサイドセールス部,リクルートコンサルティンググループ,RC第1チーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,,
エージェント第一事業本部,看護エージェント事業部,新卒教育グループ,新卒教育チーム,
レバテック株式会社,クオリティアシュアランス事業部,事業企画グループ,,
広報PR・教育事業本部,広報PR・教育事業部,広報PRグループ,,
LW経営企画本部,経営企画部,事業推進Bチーム,,
海外事業本部,セールスオペレーション部,システムグループ,,
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,セールスディベロップメントチーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,中日本法人Bチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Cチーム
人事本部,人事採用部,新卒採用グループ,営業職第四チーム,専門職ユニット
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,
